# Compound	Coefficient
Acetic_acid_aq	0.07525002605697564
Adenine	0.0
Adenosine_monophosphate	0.06817290531620426
Ca-DPA_cryst	0.5042808923241893
Citric_acid	0.0
Cytosine_aq	0.02389850259816763
D-Lactic_acid	0.005469754401060459
D-Mannose_aq	0.0
DPA_cryst	0.1389064324139436
Glycine	0.0
Guanine	0.019607468369525656
Hypoxanthine	0.0
L-Alanine	0.0
L-Arginine	0.0
L-Asparagine	0.0
L-Aspartic_acid	0.0
L-Cysteine_aq	0.0
L-Glutamic_acid	0.0
L-Glutamine	0.0
L-Histidine	0.0
L-Histidine_aq	0.048620771087907376
L-Isoleucine	0.0
L-Leucine	0.0
L-Lysine	0.030683460539063363
L-Methionine_aq	0.038886982732346524
L-Phenylalanine	0.0
L-Phenylalanine_aq	0.028088184525637543
L-Proline	0.0
L-Serine	0.0
L-Threonine	0.0
L-Tryptophan	0.05462269714085484
L-Tyrosine	0.0
L-Valine	0.0
N-Acetylglucosamine_aq	0.06985936480076185
N-Acetylmuramic_acid	0.0
Peptidoglycan	0.012506103672727562
Succinic_acid	0.12690712294356687
Thymine	0.03338702483246984
Uracil	0.01966981164901733
Uric_acid	0.014613872952165853
Xanthine	0.0658846828505979
intercept	0.0
